date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1921-12-01,7.31,0.46,8.652732947976881,0.29,5.4549838150289025,17.3,6.114158849417275,137.50321271676304,4.365833333333333
1922-01-01,7.3,0.4642,8.938404473372785,0.3233,6.2253041065088786,16.9,6.287087290347133,140.5651715976332,4.3
1922-02-01,7.46,0.4683,9.017352035502963,0.3567,6.868437905325448,16.9,6.461305872696988,143.64605207100598,4.305
1922-03-01,7.74,0.4725,9.207185928143716,0.39,7.5995820359281465,16.7,6.8213872490360465,150.82247425149708,4.3100000000000005
1922-04-01,8.21,0.4767,9.289027580838328,0.4233,8.248469425149704,16.7,7.273253390209868,159.98094491017972,4.3149999999999995
1922-05-01,8.53,0.4808,9.368920622754494,0.4567,8.899305425149704,16.7,7.593467258919383,166.21649940119767,4.32
1922-06-01,8.45,0.485,9.450762275449106,0.49,9.548192814371262,16.7,7.557987351755133,164.65761077844317,4.325
1922-07-01,8.51,0.4892,9.47586223809524,0.5233,10.13638329761905,16.8,7.602095045774037,164.83971309523815,4.33
1922-08-01,8.83,0.4933,9.670403578313255,0.5567,10.913265096385544,16.6,8.02003068989578,173.09885180722895,4.335
1922-09-01,9.06,0.4975,9.752738253012051,0.59,11.566061445783136,16.6,8.265083002284307,177.60765542168681,4.34
1922-10-01,9.26,0.5017,9.776180275449105,0.6233,12.145690982035934,16.7,8.432151998761903,180.4413580838324,4.345
1922-11-01,8.8,0.5058,9.797406214285719,0.6567,12.720357178571433,16.8,7.998253772269839,170.45704761904767,4.35
1922-12-01,8.78,0.51,9.820306508875744,0.69,13.286297041420124,16.9,7.964679864940005,169.06331597633144,4.3549999999999995
1923-01-01,8.9,0.5117,9.91168991666667,0.7142,13.834139023809527,16.8,8.154200483069156,172.39405952380957,4.36
1923-02-01,9.28,0.5133,9.94268210714286,0.7383,14.300958892857146,16.8,8.533360579065969,179.7547047619048,4.335
1923-03-01,9.43,0.515,9.975611309523813,0.7625,14.769715773809528,16.8,8.700737500978535,182.6602226190477,4.31
1923-04-01,9.1,0.5167,9.949318378698232,0.7867,15.1483041775148,16.9,8.372809668463818,175.225076923077,4.285
1923-05-01,8.67,0.5183,9.980127183431957,0.8108,15.612361798816574,16.9,8.00049786759821,166.94521065088765,4.26
1923-06-01,8.34,0.52,9.953962352941181,0.835,15.98376647058824,17,7.67182528267308,159.64624235294124,4.234999999999999
1923-07-01,8.06,0.5217,9.870382011627912,0.8592,16.255764279069773,17.2,7.34598511949065,152.4923883720931,4.21
1923-08-01,8.1,0.5233,9.95855201169591,0.8833,16.809457274853806,17.1,7.44178317421737,154.14536842105267,4.185
1923-09-01,8.15,0.525,9.932816860465122,0.9075,17.169583430232564,17.2,7.458183867189793,154.19515697674424,4.16
1923-10-01,8.03,0.5267,9.907379225433528,0.9317,17.52554627745665,17.3,7.31740039562148,151.0466208092486,4.135
1923-11-01,8.27,0.5283,9.937475687861275,0.9558,17.978874242774573,17.3,7.546327911916235,155.56109017341043,4.109999999999999
1923-12-01,8.55,0.53,9.969453179190754,0.98,18.434083236994226,17.3,7.809739144938745,160.82797109826595,4.085
1924-01-01,8.83,0.5317,10.001430670520234,0.9758,18.355080023121392,17.3,8.072249446037379,166.09485202312143,4.06
1924-02-01,8.87,0.5333,10.089849965116283,0.9717,18.384225034883727,17.2,8.162066220850356,167.81730581395354,4.043333333333333
1924-03-01,8.7,0.535,10.18120643274854,0.9675,18.41180789473685,17.1,8.058077044116091,165.56354385964914,4.026666666666666
1924-04-01,8.5,0.5367,10.273637682352943,0.9633,18.439715258823536,17,7.9236203483279795,162.70900000000006,4.01
1924-05-01,8.47,0.5383,10.304265258823532,0.9592,18.361232094117653,17,7.899698330665291,162.13473294117654,3.993333333333333
1924-06-01,8.63,0.54,10.336807058823535,0.955,18.28083470588236,17,8.051676946396649,165.19749058823538,3.9766666666666666
1924-07-01,9.03,0.5417,10.308709391812867,0.9508,18.094002011695913,17.1,8.37771213997183,171.84354035087722,3.96
1924-08-01,9.34,0.5433,10.399976435294121,0.9467,18.121954152941186,17,8.71741830854833,178.7884776470589,3.943333333333333
1924-09-01,9.25,0.545,10.37150935672515,0.9425,17.936050584795325,17.1,8.58167037520905,176.03020467836262,3.9266666666666667
1924-10-01,9.13,0.5467,10.343373290697679,0.9383,17.75230868604652,17.2,8.419491035872424,172.73641511627915,3.91
1924-11-01,9.64,0.5483,10.373644732558144,0.9342,17.674738116279077,17.2,8.888327361250969,182.3854372093024,3.8933333333333335
1924-12-01,10.16,0.55,10.345658959537577,0.93,17.493568786127177,17.3,9.310639680416372,191.11253641618504,3.876666666666667
1925-01-01,10.58,0.5542,10.42466217341041,0.9567,17.995803502890176,17.3,9.692618852254993,199.01285780346828,3.86
1925-02-01,10.67,0.5583,10.56284124418605,0.9833,18.6036929883721,17.2,9.830804722819575,201.87267790697683,3.845
1925-03-01,10.39,0.5625,10.580787572254339,1.01,18.99839190751446,17.3,9.518537538810032,195.4389028901735,3.83
1925-04-01,10.28,0.5667,10.721766313953493,1.037,19.61967825581396,17.2,9.476566787903069,194.49401395348843,3.815
1925-05-01,10.61,0.5708,10.736912971098269,1.063,19.99533722543353,17.3,9.72900769402133,199.57716647398848,3.8
1925-06-01,10.8,0.575,10.692305714285718,1.09,20.26889257142858,17.5,9.796386180450611,200.82939428571436,3.785
1925-07-01,11.1,0.5792,10.648706531073453,1.117,20.536265875706224,17.7,9.9639938917878,204.07569491525433,3.77
1925-08-01,11.25,0.5833,10.724085841807915,1.143,21.014281016949163,17.7,10.110918458488944,206.83347457627127,3.7550000000000003
1925-09-01,11.51,0.5875,10.80130367231639,1.17,21.51068135593221,17.7,10.359247611348502,211.61362598870065,3.74
1925-10-01,11.89,0.5917,10.878521502824864,1.197,22.007081694915264,17.7,10.71849599702293,218.6000011299436,3.725
1925-11-01,12.26,0.5958,10.771335800000005,1.223,22.110345222222232,18,10.886317440307938,221.64581555555563,3.71
1925-12-01,12.46,0.6,10.907865921787714,1.25,22.724720670391072,17.9,11.147365239137256,226.52001564245822,3.6950000000000003
1926-01-01,12.65,0.6075,11.044214245810062,1.249,22.70654089385476,17.9,11.34096618850624,229.97417318435765,3.68
1926-02-01,12.67,0.615,11.180562569832407,1.248,22.688361117318443,17.9,11.389435672748014,230.3377687150839,3.651666666666667
1926-03-01,11.81,0.6225,11.380489044943825,1.248,22.815823820224725,17.8,10.712352062732487,215.90935842696635,3.6233333333333335
